"lat","lon","location_type","formatted","Actual_Address"
42.0932971,-71.057503,"route","Reynolds Memorial Hwy, Brockton, MA 02301, USA","REYNOLDS MEM HWY, BROCKTON, MA"
42.0711302,-71.021312,"premise","721 Warren Ave, Brockton, MA 02301, USA","721 WARREN AVE, BROCKTON, MA"
42.0857339,-71.0172924,"intersection","N Montello St & Court St, Brockton, MA 02301, USA","99 COURT ST, BROCKTON, MA @ 1 N MONTELLO ST, BROCKTON, MA"
42.098784,-71.0607676,"premise","830 Oak St, Brockton, MA 02301, USA","830 OAK ST, BROCKTON, MA"
42.0699606,-71.0169627,"premise","16 Temple St, Brockton, MA 02301, USA","16 TEMPLE ST, BROCKTON, MA"
42.0968929,-71.0219448,"intersection","Battles St & Richmond St, Brockton, MA 02301, USA","46 BATTLES ST, BROCKTON, MA @ 4 RICHMOND ST, BROCKTON, MA"
42.0576998,-71.0684851,"premise","1300 Belmont St, Brockton, MA 02301, USA","1300 BELMONT ST, BROCKTON, MA"
42.0704124,-71.026937,"premise","129 Packard Way, Brockton, MA 02301, USA","129 PACKARD WAY, BROCKTON, MA"
42.0621397,-71.0069543,"premise","88 S Leyden St, Brockton, MA 02302, USA","88 S LEYDEN ST, BROCKTON, MA"
42.0546532,-71.0502248,"premise","830 W Chestnut St, Brockton, MA 02301, USA","830 W CHESTNUT ST, BROCKTON, MA"
42.0990241,-71.0255387,"premise","46 Porter St, Brockton, MA 02301, USA","46 PORTER ST, BROCKTON, MA"
42.0960636,-71.0216952,"street_address","51 Division St, Brockton, MA 02301, USA","51 DIVISION ST, BROCKTON, MA"
42.0878531,-71.0100116,"premise","30 Taber Ave, Brockton, MA 02302, USA","30 TABER AVE, BROCKTON, MA"
42.0666598,-71.0013186,"street_address","206 Riverview St, Brockton, MA 02302, USA","206 RIVERVIEW ST, BROCKTON, MA"
42.0867429,-71.0340634,"premise","7 Park Rd, Brockton, MA 02301, USA","7 PARK RD, BROCKTON, MA"
42.0848082,-71.0228516,"street_address","111 Green St, Brockton, MA 02301, USA","111 GREEN ST, BROCKTON, MA"
42.0759864,-71.0263052,"premise","145 Winthrop St, Brockton, MA 02301, USA","145 WINTHROP ST, BROCKTON, MA"
42.0587446,-71.0583402,"premise","160 Manley St, Brockton, MA 02301, USA","160 MANLEY ST, BROCKTON, MA"
42.0717523,-71.0339233,"premise","15 Lincoln Rd, Brockton, MA 02301, USA","15 LINCOLN RD, BROCKTON, MA"
42.085846,-71.022738,"street_address","105 Pleasant St, Brockton, MA 02301, USA","105 PLEASANT ST, BROCKTON, MA"
42.0812948,-71.017219,"intersection","Montello St & Crescent St, Brockton, MA 02301, USA","116 CRESCENT ST, BROCKTON, MA @ 217 MONTELLO ST, BROCKTON, MA"
42.077899,-70.9939309,"street_address","55 Electric Ave, Brockton, MA 02302, USA","55 ELECTRIC AVE, BROCKTON, MA"
42.1044237,-71.0246077,"intersection","N Main St & Field St, Brockton, MA 02301, USA","816 N MAIN ST, BROCKTON, MA @ 61 FIELD ST, BROCKTON, MA"
42.0798687,-70.9907305,"street_address","715 Crescent St, Brockton, MA 02302, USA","715 CRESCENT ST, BROCKTON, MA"
42.0857895,-71.0006554,"street_address","464 Centre St, Brockton, MA 02302, USA","464 CENTRE ST, BROCKTON, MA"
42.0873994,-70.9967843,"premise","56 Howland St, Brockton, MA 02302, USA","56 HOWLAND ST, BROCKTON, MA"
